과제번호,과제명,요구사항,파트1_이름,파트1_구분,파트1_기능,파트1_내용,파트2_이름,파트2_구분,파트2_기능,파트2_내용,파트3_이름,파트3_구분,파트3_기능,파트3_내용
001,결제 수단에 카카오페이 추가,결제 수단에 카카오페이 추가 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,결제 수단에 카카오페이 추가 관련 테스트 수행,고객정보팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행,운영모니터링팀,운영,결제 수단에 카카오페이 추가 관련 테스트 수행,운영모니터링팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행,인증관리팀,개발,결제 수단에 카카오페이 추가 관련 기능 수정,인증관리팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행
002,비밀번호 초기화 방식 변경,비밀번호 초기화 방식 변경 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,비밀번호 초기화 방식 변경 관련 테스트 수행,고객정보팀에서 비밀번호 초기화 방식 변경을 위해 업무 수행,운영모니터링팀,운영,비밀번호 초기화 방식 변경 관련 테스트 수행,운영모니터링팀에서 비밀번호 초기화 방식 변경을 위해 업무 수행,인증관리팀,개발,비밀번호 초기화 방식 변경 관련 기능 수정,인증관리팀에서 비밀번호 초기화 방식 변경을 위해 업무 수행
003,사용자 인증 시도 가능 횟수 증설,사용자 인증 시도 가능 횟수 증설 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,사용자 인증 시도 가능 횟수 증설 관련 테스트 수행,UI/UX팀에서 사용자 인증 시도 가능 횟수 증설을 위해 업무 수행,고객정보팀,운영,사용자 인증 시도 가능 횟수 증설 관련 테스트 수행,고객정보팀에서 사용자 인증 시도 가능 횟수 증설을 위해 업무 수행,운영모니터링팀,운영,사용자 인증 시도 가능 횟수 증설 관련 테스트 수행,운영모니터링팀에서 사용자 인증 시도 가능 횟수 증설을 위해 업무 수행
004,모바일 UI 개선,모바일 UI 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,모바일 UI 개선 관련 테스트 수행,UI/UX팀에서 모바일 UI 개선을 위해 업무 수행,운영모니터링팀,운영,모바일 UI 개선 관련 테스트 수행,운영모니터링팀에서 모바일 UI 개선을 위해 업무 수행,,,,
005,마이페이지 접근 속도 개선,마이페이지 접근 속도 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,마이페이지 접근 속도 개선 관련 테스트 수행,운영모니터링팀에서 마이페이지 접근 속도 개선을 위해 업무 수행,결제시스템팀,개발,마이페이지 접근 속도 개선 관련 기능 수정,결제시스템팀에서 마이페이지 접근 속도 개선을 위해 업무 수행,인증관리팀,개발,마이페이지 접근 속도 개선 관련 기능 수정,인증관리팀에서 마이페이지 접근 속도 개선을 위해 업무 수행
006,서버 과부하 알림 주기 조정,서버 과부하 알림 주기 조정 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,서버 과부하 알림 주기 조정 관련 테스트 수행,고객정보팀에서 서버 과부하 알림 주기 조정을 위해 업무 수행,UI/UX팀,테스트,서버 과부하 알림 주기 조정 관련 테스트 수행,UI/UX팀에서 서버 과부하 알림 주기 조정을 위해 업무 수행,,,,
007,결제 수단에 카카오페이 추가,결제 수단에 카카오페이 추가 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,결제 수단에 카카오페이 추가 관련 테스트 수행,운영모니터링팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행,고객정보팀,운영,결제 수단에 카카오페이 추가 관련 테스트 수행,고객정보팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행,인증관리팀,개발,결제 수단에 카카오페이 추가 관련 기능 수정,인증관리팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행
008,결제 API 응답속도 개선,결제 API 응답속도 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,결제 API 응답속도 개선 관련 테스트 수행,운영모니터링팀에서 결제 API 응답속도 개선을 위해 업무 수행,결제시스템팀,개발,결제 API 응답속도 개선 관련 기능 수정,결제시스템팀에서 결제 API 응답속도 개선을 위해 업무 수행,,,,
009,로그인 실패 시 캡차 적용,로그인 실패 시 캡차 적용 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,로그인 실패 시 캡차 적용 관련 테스트 수행,운영모니터링팀에서 로그인 실패 시 캡차 적용을 위해 업무 수행,인증관리팀,개발,로그인 실패 시 캡차 적용 관련 기능 수정,인증관리팀에서 로그인 실패 시 캡차 적용을 위해 업무 수행,,,,
010,모바일 UI 개선,모바일 UI 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,모바일 UI 개선 관련 테스트 수행,UI/UX팀에서 모바일 UI 개선을 위해 업무 수행,고객정보팀,운영,모바일 UI 개선 관련 테스트 수행,고객정보팀에서 모바일 UI 개선을 위해 업무 수행,결제시스템팀,개발,모바일 UI 개선 관련 기능 수정,결제시스템팀에서 모바일 UI 개선을 위해 업무 수행
011,서버 과부하 알림 주기 조정,서버 과부하 알림 주기 조정 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,서버 과부하 알림 주기 조정 관련 테스트 수행,고객정보팀에서 서버 과부하 알림 주기 조정을 위해 업무 수행,결제시스템팀,개발,서버 과부하 알림 주기 조정 관련 기능 수정,결제시스템팀에서 서버 과부하 알림 주기 조정을 위해 업무 수행,UI/UX팀,테스트,서버 과부하 알림 주기 조정 관련 테스트 수행,UI/UX팀에서 서버 과부하 알림 주기 조정을 위해 업무 수행
012,결제 실패 오류코드 상세화,결제 실패 오류코드 상세화 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,결제 실패 오류코드 상세화 관련 테스트 수행,UI/UX팀에서 결제 실패 오류코드 상세화을 위해 업무 수행,인증관리팀,개발,결제 실패 오류코드 상세화 관련 기능 수정,인증관리팀에서 결제 실패 오류코드 상세화을 위해 업무 수행,고객정보팀,운영,결제 실패 오류코드 상세화 관련 테스트 수행,고객정보팀에서 결제 실패 오류코드 상세화을 위해 업무 수행
013,결제 수단에 카카오페이 추가,결제 수단에 카카오페이 추가 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,인증관리팀,개발,결제 수단에 카카오페이 추가 관련 기능 수정,인증관리팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행,UI/UX팀,테스트,결제 수단에 카카오페이 추가 관련 테스트 수행,UI/UX팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행,결제시스템팀,개발,결제 수단에 카카오페이 추가 관련 기능 수정,결제시스템팀에서 결제 수단에 카카오페이 추가을 위해 업무 수행
014,모바일 UI 개선,모바일 UI 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,모바일 UI 개선 관련 테스트 수행,운영모니터링팀에서 모바일 UI 개선을 위해 업무 수행,인증관리팀,개발,모바일 UI 개선 관련 기능 수정,인증관리팀에서 모바일 UI 개선을 위해 업무 수행,,,,
015,사용자 인증 시도 가능 횟수 증설,사용자 인증 시도 가능 횟수 증설 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,결제시스템팀,개발,사용자 인증 시도 가능 횟수 증설 관련 기능 수정,결제시스템팀에서 사용자 인증 시도 가능 횟수 증설을 위해 업무 수행,인증관리팀,개발,사용자 인증 시도 가능 횟수 증설 관련 기능 수정,인증관리팀에서 사용자 인증 시도 가능 횟수 증설을 위해 업무 수행,,,,
016,장애 대응 푸시 알림 추가,장애 대응 푸시 알림 추가 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,장애 대응 푸시 알림 추가 관련 테스트 수행,고객정보팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행,운영모니터링팀,운영,장애 대응 푸시 알림 추가 관련 테스트 수행,운영모니터링팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행,결제시스템팀,개발,장애 대응 푸시 알림 추가 관련 기능 수정,결제시스템팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행
017,회원탈퇴시 계정 잠금 전환,회원탈퇴시 계정 잠금 전환 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,인증관리팀,개발,회원탈퇴시 계정 잠금 전환 관련 기능 수정,인증관리팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행,UI/UX팀,테스트,회원탈퇴시 계정 잠금 전환 관련 테스트 수행,UI/UX팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행,,,,
